country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",07-04-2026 21:00,17.72,83.3,SO2,1,62,31
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",07-04-2026 21:00,27.103358,93.679645,PM10,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",07-04-2026 21:00,26.071318,91.87488,CO,18,102,66
India,Assam,Guwahati,"IITG, Guwahati - PCBA",07-04-2026 21:00,26.2028636,91.70046436,PM10,18,112,62
India,Assam,Guwahati,"IITG, Guwahati - PCBA",07-04-2026 21:00,26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",07-04-2026 21:00,26.10887,91.589544,PM2.5,11,54,37
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",07-04-2026 21:00,26.1875,91.744194,NO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",07-04-2026 21:00,24.75746,84.366208,CO,101,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",07-04-2026 21:00,25.42742023,86.13886079,NO2,9,17,13
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",07-04-2026 21:00,25.251013,86.989001,PM2.5,15,75,40
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",07-04-2026 21:00,25.251013,86.989001,CO,1,20,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",07-04-2026 21:00,25.265194,87.012947,PM2.5,2,250,75
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",07-04-2026 21:00,25.265194,87.012947,CO,64,80,71
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",07-04-2026 21:00,25.204762,85.51496,PM2.5,12,62,34
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",07-04-2026 21:00,26.1875,91.744194,CO,20,80,24
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",07-04-2026 21:00,26.1875,91.744194,OZONE,10,25,18
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",07-04-2026 21:00,26.181742,91.78063,PM2.5,28,301,138
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",07-04-2026 21:00,26.181742,91.78063,NO2,2,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",07-04-2026 21:00,26.181742,91.78063,SO2,1,11,6
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",07-04-2026 21:00,26.349082,92.68449,NO2,1,73,18
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",07-04-2026 21:00,26.446912,91.439057,PM2.5,35,314,129
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",07-04-2026 21:00,26.446912,91.439057,PM10,37,150,83
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",07-04-2026 21:00,13.615387,79.40923,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",07-04-2026 21:00,16.486692,80.699436,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",07-04-2026 21:00,16.486692,80.699436,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",07-04-2026 21:00,16.486692,80.699436,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",07-04-2026 21:00,16.486692,80.699436,CO,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",07-04-2026 21:00,16.554731,80.64911,NO2,19,28,20
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",07-04-2026 21:00,16.554731,80.64911,SO2,18,28,22
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",07-04-2026 21:00,14.465052,78.824187,PM10,50,137,70
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",07-04-2026 21:00,14.465052,78.824187,CO,24,61,36
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",07-04-2026 21:00,16.186555,81.13219,CO,6,74,62
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",07-04-2026 21:00,13.67,79.35,PM10,43,101,66
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",07-04-2026 21:00,26.446912,91.439057,OZONE,3,16,14
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",07-04-2026 21:00,26.987634,94.636574,NO2,16,37,24
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",07-04-2026 21:00,26.146529,87.454184,PM10,42,174,97
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",07-04-2026 21:00,26.146529,87.454184,NO2,1,7,2
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",07-04-2026 21:00,16.711754,81.092095,PM2.5,40,58,48
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",07-04-2026 21:00,16.711754,81.092095,OZONE,1,14,13
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",07-04-2026 21:00,16.316553,80.413302,PM10,44,77,54
